,URL,URL_ID,POSITIVE_SCORE,NEGATIVE_SCORE,POLARITY_SCORE,SUBJECTIVITY_SCORE,AVG_SENTENCE_LENGTH,PERCENTAGE_OF_COMPLEX_WORDS,FOG_INDEX,AVG_NUMBER_OF_WORDS_PER_SENTENCE,COMPLEX_WORD_COUNT,WORD_COUNT,SYLLABLE_PER_WORD,PERSONAL_PRONOUNS,AV_WORD_LENGTH
0,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,123.0,24,80,-0.5384615384615384,0.12410501193317422,10.60759493670886,0.5071599045346062,4.445901936497387,10.60759493670886,425,838,2.5417661097852027,2,7.766109785202864
1,https://insights.blackcoffer.com/rise-of-e-health-and-its-impact-on-humans-by-the-year-2030/,321.0,13,38,-0.49019607843137253,0.19391634980988592,10.958333333333334,0.5247148288973384,4.5932192648922685,10.958333333333334,138,263,2.532319391634981,3,8.193916349809886
2,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030-2/,2345.0,0,0,0.0,0.0,2.0,0.0,0.8,2.0,0,2,1.0,0,3.0
3,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2/,4321.0,27,34,-0.11475409836065574,0.10066006600660066,10.271186440677965,0.4471947194719472,4.287352464059965,10.271186440677965,271,606,2.2805280528052805,7,7.488448844884489
4,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2-2/,432.0,27,34,-0.11475409836065574,0.10066006600660066,10.271186440677965,0.4471947194719472,4.287352464059965,10.271186440677965,271,606,2.2805280528052805,7,7.488448844884489
5,https://insights.blackcoffer.com/rise-of-chatbots-and-its-impact-on-customer-support-by-the-year-2040/,2893.8,12,43,-0.5636363636363636,0.09874326750448834,8.983870967741936,0.3877917414721723,3.7486650836856437,8.983870967741936,216,557,2.2675044883303412,5,7.429084380610413
6,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030/,3355.6,10,32,-0.5238095238095238,0.08284023668639054,11.522727272727273,0.4635108481262327,4.794495248341403,11.522727272727273,235,507,2.3629191321499015,1,7.700197238658777
7,https://insights.blackcoffer.com/how-does-marketing-influence-businesses-and-consumers/,3817.4,6,58,-0.8125,0.07920792079207921,8.505263157894737,0.45792079207920794,3.5852735799895776,8.505263157894737,370,808,2.332920792079208,5,7.49009900990099
8,https://insights.blackcoffer.com/how-advertisement-increase-your-market-value/,4279.2,0,0,0.0,0.0,2.0,0.0,0.8,2.0,0,2,1.0,0,3.0
9,https://insights.blackcoffer.com/negative-effects-of-marketing-on-society/,4741.0,47,22,0.36231884057971014,0.13372093023255813,10.53061224489796,0.45930232558139533,4.395965828191742,10.53061224489796,237,516,2.356589147286822,6,7.558139534883721
10,https://insights.blackcoffer.com/how-advertisement-marketing-affects-business/,5202.8,10,12,-0.09090909090909091,0.1301775147928994,6.2592592592592595,0.35502958579881655,2.6457155380232305,6.2592592592592595,60,169,2.1775147928994083,6,7.21301775147929
11,https://insights.blackcoffer.com/rising-it-cities-will-impact-the-economy-environment-infrastructure-and-city-life-by-the-year-2035/,5664.6,15,28,-0.3023255813953488,0.06739811912225706,10.126984126984127,0.3761755485893417,4.201263870229387,10.126984126984127,240,638,2.20846394984326,7,6.992163009404389
12,https://insights.blackcoffer.com/rise-of-ott-platform-and-its-impact-on-entertainment-industry-by-the-year-2030/,6126.4,3,23,-0.7692307692307693,0.0962962962962963,13.5,0.4185185185185185,5.567407407407408,13.5,113,270,2.240740740740741,1,7.092592592592593
13,https://insights.blackcoffer.com/rise-of-electric-vehicles-and-its-impact-on-livelihood-by-2040/,6588.2,11,19,-0.26666666666666666,0.06976744186046512,17.2,0.29069767441860467,6.996279069767443,17.2,125,430,2.030232558139535,6,6.558139534883721
14,https://insights.blackcoffer.com/rise-of-electric-vehicle-and-its-impact-on-livelihood-by-the-year-2040/,7050.0,14,23,-0.24324324324324326,0.0835214446952596,10.804878048780488,0.36343115124153497,4.46732368000881,10.804878048780488,161,443,2.148984198645598,2,7.011286681715576
15,https://insights.blackcoffer.com/oil-prices-by-the-year-2040-and-how-it-will-impact-the-world-economy/,7511.8,26,24,0.04,0.09487666034155598,9.943396226415095,0.29601518026565465,4.0957645626723,9.943396226415095,156,527,1.9165085388994307,27,6.580645161290323
